city,raw_temp,scraped_at,temp_celsius
ccra,Thu 8:46 pm,2026-08-27 15:46:28,8
Dublin,Thu 9:46 pm,2026-08-27 15:46:28,9
airobi,Thu 11:46 pm,2026-08-27 15:46:28,11
ddis baba,Thu 11:46 pm,2026-08-27 15:46:28,11
Edmonton,Thu 2:46 pm,2026-08-27 15:46:28,2
assau,Thu 4:46 pm,2026-08-27 15:46:29,4
delaide,Fri 6:16 am,2026-08-27 15:46:29,6
Frankfurt,Thu 10:46 pm,2026-08-27 15:46:29,10
ew Delhi,Fri 2:16 am,2026-08-27 15:46:29,2
lgiers,Thu 9:46 pm,2026-08-27 15:46:31,9
Guatemala City,Thu 2:46 pm,2026-08-27 15:46:32,2
ew Orleans,Thu 3:46 pm,2026-08-27 15:46:32,3
lmaty,Fri 1:46 am,2026-08-27 15:46:32,1
Halifax,Thu 5:46 pm,2026-08-27 15:46:33,5
ew York,Thu 4:46 pm,2026-08-27 15:46:33,4
mman,Thu 11:46 pm,2026-08-27 15:46:33,11
Hanoi,Fri 3:46 am,2026-08-27 15:46:33,3
Oslo,Thu 10:46 pm,2026-08-27 15:46:33,10
msterdam,Thu 10:46 pm,2026-08-27 15:46:33,10
Harare,Thu 10:46 pm,2026-08-27 15:46:33,10
Ottawa,Thu 4:46 pm,2026-08-27 15:46:33,4
nadyr,Fri 8:46 am,2026-08-27 15:46:33,8
Havana,Thu 4:46 pm,2026-08-27 15:46:33,4
Paris,Thu 10:46 pm,2026-08-27 15:46:33,10
nchorage,Thu 12:46 pm,2026-08-27 15:46:33,12
Helsinki,Thu 11:46 pm,2026-08-27 15:46:33,11
Perth,Fri 4:46 am,2026-08-27 15:46:33,4
nkara,Thu 11:46 pm,2026-08-27 15:46:33,11
Hong Kong,Fri 4:46 am,2026-08-27 15:46:33,4
Philadelphia,Thu 4:46 pm,2026-08-27 15:46:33,4
ntananarivo,Thu 11:46 pm,2026-08-27 15:46:33,11
Honolulu,Thu 10:46 am,2026-08-27 15:46:33,10
Phoenix,Thu 1:46 pm,2026-08-27 15:46:34,1
suncion,Thu 5:46 pm,2026-08-27 15:46:34,5
Houston,Thu 3:46 pm,2026-08-27 15:46:34,3
Prague,Thu 10:46 pm,2026-08-27 15:46:34,10
thens,Thu 11:46 pm,2026-08-27 15:46:34,11
Indianapolis,Thu 4:46 pm,2026-08-27 15:46:34,4
Reykjavik,Thu 8:46 pm,2026-08-27 15:46:34,8
tlanta,Thu 4:46 pm,2026-08-27 15:46:34,4
Islamabad,Fri 1:46 am,2026-08-27 15:46:34,1
Rio de Janeiro,Thu 5:46 pm,2026-08-27 15:46:34,5
uckland,Fri 8:46 am,2026-08-27 15:46:34,8
Istanbul,Thu 11:46 pm,2026-08-27 15:46:34,11
Riyadh,Thu 11:46 pm,2026-08-27 15:46:34,11
Baghdad,Thu 11:46 pm,2026-08-27 15:46:34,11
Jakarta,Fri 3:46 am,2026-08-27 15:46:34,3
Rome,Thu 10:46 pm,2026-08-27 15:46:34,10
Bangkok,Fri 3:46 am,2026-08-27 15:46:35,3
Jerusalem,Thu 11:46 pm,2026-08-27 15:46:35,11
Salt Lake City,Thu 2:46 pm,2026-08-27 15:46:35,2
Barcelona,Thu 10:46 pm,2026-08-27 15:46:35,10
Johannesburg,Thu 10:46 pm,2026-08-27 15:46:35,10
San Francisco,Thu 1:46 pm,2026-08-27 15:46:35,1
Beijing,Fri 4:46 am,2026-08-27 15:46:35,4
Karachi,Fri 1:46 am,2026-08-27 15:46:35,1
San Juan,Thu 4:46 pm,2026-08-27 15:46:35,4
Beirut,Thu 11:46 pm,2026-08-27 15:46:35,11
Kathmandu,Fri 2:31 am,2026-08-27 15:46:35,2
San Salvador,Thu 2:46 pm,2026-08-27 15:46:35,2
