city,raw_temp,scraped_at
Accra,Thu 8:46 pm,2026-08-27 15:46:28
Dublin *,Thu 9:46 pm,2026-08-27 15:46:28
Nairobi,Thu 11:46 pm,2026-08-27 15:46:28
Addis Ababa,Thu 11:46 pm,2026-08-27 15:46:28
Edmonton *,Thu 2:46 pm,2026-08-27 15:46:28
Nassau *,Thu 4:46 pm,2026-08-27 15:46:29
Adelaide,Fri 6:16 am,2026-08-27 15:46:29
Frankfurt *,Thu 10:46 pm,2026-08-27 15:46:29
New Delhi,Fri 2:16 am,2026-08-27 15:46:29
Algiers,Thu 9:46 pm,2026-08-27 15:46:31
Guatemala City,Thu 2:46 pm,2026-08-27 15:46:32
New Orleans *,Thu 3:46 pm,2026-08-27 15:46:32
Almaty,Fri 1:46 am,2026-08-27 15:46:32
Halifax *,Thu 5:46 pm,2026-08-27 15:46:33
New York *,Thu 4:46 pm,2026-08-27 15:46:33
Amman,Thu 11:46 pm,2026-08-27 15:46:33
Hanoi,Fri 3:46 am,2026-08-27 15:46:33
Oslo *,Thu 10:46 pm,2026-08-27 15:46:33
Amsterdam *,Thu 10:46 pm,2026-08-27 15:46:33
Harare,Thu 10:46 pm,2026-08-27 15:46:33
Ottawa *,Thu 4:46 pm,2026-08-27 15:46:33
Anadyr,Fri 8:46 am,2026-08-27 15:46:33
Havana *,Thu 4:46 pm,2026-08-27 15:46:33
Paris *,Thu 10:46 pm,2026-08-27 15:46:33
Anchorage *,Thu 12:46 pm,2026-08-27 15:46:33
Helsinki *,Thu 11:46 pm,2026-08-27 15:46:33
Perth,Fri 4:46 am,2026-08-27 15:46:33
Ankara,Thu 11:46 pm,2026-08-27 15:46:33
Hong Kong,Fri 4:46 am,2026-08-27 15:46:33
Philadelphia *,Thu 4:46 pm,2026-08-27 15:46:33
Antananarivo,Thu 11:46 pm,2026-08-27 15:46:33
Honolulu,Thu 10:46 am,2026-08-27 15:46:33
Phoenix,Thu 1:46 pm,2026-08-27 15:46:34
Asuncion,Thu 5:46 pm,2026-08-27 15:46:34
Houston *,Thu 3:46 pm,2026-08-27 15:46:34
Prague *,Thu 10:46 pm,2026-08-27 15:46:34
Athens *,Thu 11:46 pm,2026-08-27 15:46:34
Indianapolis *,Thu 4:46 pm,2026-08-27 15:46:34
Reykjavik,Thu 8:46 pm,2026-08-27 15:46:34
Atlanta *,Thu 4:46 pm,2026-08-27 15:46:34
Islamabad,Fri 1:46 am,2026-08-27 15:46:34
Rio de Janeiro,Thu 5:46 pm,2026-08-27 15:46:34
Auckland,Fri 8:46 am,2026-08-27 15:46:34
Istanbul,Thu 11:46 pm,2026-08-27 15:46:34
Riyadh,Thu 11:46 pm,2026-08-27 15:46:34
Baghdad,Thu 11:46 pm,2026-08-27 15:46:34
Jakarta,Fri 3:46 am,2026-08-27 15:46:34
Rome *,Thu 10:46 pm,2026-08-27 15:46:34
Bangkok,Fri 3:46 am,2026-08-27 15:46:35
Jerusalem *,Thu 11:46 pm,2026-08-27 15:46:35
Salt Lake City *,Thu 2:46 pm,2026-08-27 15:46:35
Barcelona *,Thu 10:46 pm,2026-08-27 15:46:35
Johannesburg,Thu 10:46 pm,2026-08-27 15:46:35
San Francisco *,Thu 1:46 pm,2026-08-27 15:46:35
Beijing,Fri 4:46 am,2026-08-27 15:46:35
Karachi,Fri 1:46 am,2026-08-27 15:46:35
San Juan,Thu 4:46 pm,2026-08-27 15:46:35
Beirut *,Thu 11:46 pm,2026-08-27 15:46:35
Kathmandu,Fri 2:31 am,2026-08-27 15:46:35
San Salvador,Thu 2:46 pm,2026-08-27 15:46:35
Belgrade *,Thu 10:46 pm,2026-08-27 15:46:35
Kingston,Thu 3:46 pm,2026-08-27 15:46:35
Santiago,Thu 4:46 pm,2026-08-27 15:46:35
Bengaluru,Fri 2:16 am,2026-08-27 15:46:35
Kinshasa,Thu 9:46 pm,2026-08-27 15:46:35
Santo Domingo,Thu 4:46 pm,2026-08-27 15:46:36
Berlin *,Thu 10:46 pm,2026-08-27 15:46:36
Kiritimati,Fri 10:46 am,2026-08-27 15:46:36
São Paulo,Thu 5:46 pm,2026-08-27 15:46:36
Bogota,Thu 3:46 pm,2026-08-27 15:46:36
Kolkata,Fri 2:16 am,2026-08-27 15:46:36
Seattle *,Thu 1:46 pm,2026-08-27 15:46:36
Boston *,Thu 4:46 pm,2026-08-27 15:46:36
Kuala Lumpur,Fri 4:46 am,2026-08-27 15:46:36
Seoul,Fri 5:46 am,2026-08-27 15:46:36
Brasilia,Thu 5:46 pm,2026-08-27 15:46:36
Kuwait City,Thu 11:46 pm,2026-08-27 15:46:36
Shanghai,Fri 4:46 am,2026-08-27 15:46:36
Brisbane,Fri 6:46 am,2026-08-27 15:46:36
Kyiv *,Thu 11:46 pm,2026-08-27 15:46:36
Singapore,Fri 4:46 am,2026-08-27 15:46:36
Brussels *,Thu 10:46 pm,2026-08-27 15:46:36
La Paz,Thu 4:46 pm,2026-08-27 15:46:36
Sofia *,Thu 11:46 pm,2026-08-27 15:46:36
Bucharest *,Thu 11:46 pm,2026-08-27 15:46:36
Lagos,Thu 9:46 pm,2026-08-27 15:46:37
St. John's *,Thu 6:16 pm,2026-08-27 15:46:37
Budapest *,Thu 10:46 pm,2026-08-27 15:46:37
Lahore,Fri 1:46 am,2026-08-27 15:46:37
Stockholm *,Thu 10:46 pm,2026-08-27 15:46:37
Buenos Aires,Thu 5:46 pm,2026-08-27 15:46:37
Las Vegas *,Thu 1:46 pm,2026-08-27 15:46:37
Suva,Fri 8:46 am,2026-08-27 15:46:37
Cairo *,Thu 11:46 pm,2026-08-27 15:46:37
Lima,Thu 3:46 pm,2026-08-27 15:46:37
Sydney,Fri 6:46 am,2026-08-27 15:46:37
